代码,名称,日期,open,high,low,close,成交额(百万),成交量(股)
399001.SZ,深证成指,2008-06-30,9320.94,9510.28,9234.25,9370.78,20994.94,1947316000
399001.SZ,深证成指,2008-07-31,9397.32,10472.61,8922.58,9470.33,793358.71,76328682800
399001.SZ,深证成指,2008-08-29,9420.72,9638.9,7700.96,8004.24,389976.27,43641648900
399001.SZ,深证成指,2008-09-26,7954.01,7954.01,6290.01,7559.27,341064.31,45466492000
399001.SZ,深证成指,2008-10-31,7406.02,7406.02,5577.23,5839.33,306430.46,47695857000
399001.SZ,深证成指,2008-11-28,5794.17,6947.12,5598.21,6658.51,521591.1,87118475900
399001.SZ,深证成指,2008-12-31,6634.6,7585.16,6460.7,6485.51,783680.57,1.1714E+11
399001.SZ,深证成指,2009-01-23,6557.42,7103.83,6514.49,7015.24,514982.78,68903265600
399001.SZ,深证成指,2009-02-27,7073.87,8820.67,6995.84,7608.22,1401206.27,1.71159E+11
399001.SZ,深证成指,2009-03-31,7511.66,9115.04,7495.82,8981.95,1247377.51,1.42356E+11
399001.SZ,深证成指,2009-04-30,9032.4,9793.64,8816.08,9502.52,1561098.47,1.63454E+11
399001.SZ,深证成指,2009-05-27,9567.63,10497.17,9562.95,10127.92,1285546.97,1.30076E+11
399001.SZ,深证成指,2009-06-30,10267.74,11672.7,10267.74,11566.61,1529300.52,1.46976E+11
399001.SZ,深证成指,2009-07-31,11529.54,13881.14,11504.75,13670.72,2354217.98,2.01332E+11
399001.SZ,深证成指,2009-08-31,13735.08,13943.44,10561.74,10585.09,1715452.68,1.43502E+11
399001.SZ,深证成指,2009-09-30,10463.04,12530.07,10387.42,11206.85,1583839.65,1.33351E+11
399001.SZ,深证成指,2009-10-30,11499.7,12941.38,11452.33,12297.16,1235613.48,99798182800
399001.SZ,深证成指,2009-11-30,12016.61,14032.6,11957.58,13486.77,2483415.45,1.93991E+11
399001.SZ,深证成指,2009-12-31,13474.   86,14096.87,12635.68,13699.97,2011432.78,1.45293E+11
399001.SZ,深证成指,2010-01-29,13766.1,13782.81,11903.99,12137.2,1877602.1,1.31913E+11
399001.SZ,深证成指,2010-02-26,12125.51,12527.02,11714.16,12436.66,1000419.44,74376796800
399001.SZ,深证成指,2010-03-31,12480.81,12720.36,11835.62,12494.35,1880272.83,1.30255E+11
399001.SZ,深证成指,2010-04-30,12512.41,12849.71,10974.15,11162.54,2312182.58,1.49546E+11
399001.SZ,深证成指,2010-05-31,10959.16,11139.16,9627.42,10204.17,1418185.8,1.01898E+11
399001.SZ,深证成指,2010-06-30,10123.67,10407.38,9335.57,9386.94,1232560.1,89491072600
399001.SZ,深证成指,2010-07-30,9376.08,10899.43,8945.2,10785.35,1512202.22,1.20608E+11
399001.SZ,深证成指,2010-08-31,10789.07,11424.08,10613.28,11338.71,2256788.45,1.62032E+11
399001.SZ,深证成指,2010-09-30,11369.39,11759.01,11060.66,11468.54,2059909.31,1.39281E+11
399001.SZ,深证成指,2010-10-29,11594.92,13863.98,11578.12,13367.24,2591462.19,1.69823E+11
399001.SZ,深证成指,2010-11-30,13385.25,13936.88,11849.9,12336.29,3653405.08,2.1672E+11
399001.SZ,深证成指,2010-12-31,12301.24,12987.71,11963.72,12458.55,2294641.36,1.30129E+11
399001.SZ,深证成指,2011-01-31,12578.45,12790.93,11377.34,11994.68,1437136.87,85333114800
399001.SZ,深证成指,2011-02-28,12044.41,12936.74,11764.23,12902.44,1587653.45,93485415600
399001.SZ,深证成指,2011-03-31,12911.07,13233.02,12447.71,12562.9,2618383.78,1.61697E+11
399001.SZ,深证成指,2011-04-29,12559.78,13142.43,12138.85,12312.99,1852779.87,1.28457E+11
399001.SZ,深证成指,2011-05-31,12314.7,12423.46,11405.06,11665.14,1353362.4,1.01256E+11
399001.SZ,深证成指,2011-06-30,11648.86,12157.56,11288.62,12110.93,1275956.49,97683005200
399001.SZ,深证成指,2011-07-29,12148.97,12548.98,11885.9,11990.43,1903133.25,1.30436E+11
399001.SZ,深证成指,2011-08-31,11975.28,12074.95,10926.47,11397.48,1771416.17,1.20924E+11
399001.SZ,深证成指,2011-09-30,11425.11,11491.35,10224.72,10292.33,1014632.49,76561992000
399001.SZ,深证成指,2011-10-31,10315.96,10637.1,9653.51,10480.91,946524.87,75323797800
399001.SZ,深证成指,2011-11-30,10389.02,10791.39,9626.76,9693.39,1611897.62,1.19659E+11
399001.SZ,深证成指,2011-12-30,9976.52,10102.35,8555.12,8918.82,965078.78,80328761000
399001.SZ,深证成指,2012-01-31,8980.76,9503.37,8486.58,9303.65,752940.99,69027714400
399001.SZ,深证成指,2012-02-29,9277.79,10333.92,9173.07,10054.85,1585544.32,1.41252E+11
399001.SZ,深证成指,2012-03-30,10011.12,10529,9352.17,9410.26,1822953.97,1.47864E+11
399001.SZ,深证成指,2012-04-27,9410.97,10258.57,9388.78,10180.39,1207401.02,1.11564E+11
399001.SZ,深证成指,2012-05-31,10319.48,10616.28,9755.59,10141.41,1558279.94,1.344E+11
399001.SZ,深证成指,2012-06-29,10142.12,10262.05,9351.8,9500.32,1178437.33,1.01841E+11
399001.SZ,深证成指,2012-07-31,9575.09,9853.73,9033.92,9059.22,1268737.31,1.0808E+11
399001.SZ,深证成指,2012-08-31,9047.59,9344.09,8132.36,8210.99,1250087.58,1.17015E+11
399001.SZ,深证成指,2012-09-28,8220.31,8865.65,8095.52,8679.22,1157867.91,1.13161E+11
399001.SZ,深证成指,2012-10-31,8677.99,8861.04,8339.66,8469.8,897636.78,95756262000
399001.SZ,深证成指,2012-11-30,8473.03,8739.83,7786.84,7903.25,825320.81,91760296400
399001.SZ,深证成指,2012-12-31,7903.25,9119.2,7660.45,9116.48,1432214.12,1.54246E+11
399001.SZ,深证成指,2013-01-31,9204.11,9804.73,8976.02,9667.67,2040372.76,1.96001E+11
399001.SZ,深证成指,2013-02-28,9648.92,10057.97,9193.93,9641.44,1388220.17,1.25854E+11
399001.SZ,深证成指,2013-03-29,9630.87,9679.45,8879.29,8889.77,1815499.96,1.67601E+11
399001.SZ,深证成指,2013-04-26,8901.64,9142.9,8645.18,8691.39,1277553.06,1.16328E+11
399001.SZ,深证成指,2013-05-31,8643.9,9511.18,8597.71,9257.95,2380863.43,2.10963E+11
399001.SZ,深证成指,2013-06-28,9259.48,9345.66,7045.6,7694.47,1503748.41,1.3981E+11
399001.SZ,深证成指,2013-07-31,7649.3,8281.55,7544.78,7765.4,2312493.37,2.09925E+11
399001.SZ,深证成指,2013-08-30,7819.45,8476.05,7789.93,8202.48,2430394.1,2.23264E+11
399001.SZ,深证成指,2013-09-30,8214.95,8766.7,8148.17,8514.57,2126781.91,1.9775E+11
399001.SZ,深证成指,2013-10-31,8505.11,8815.75,8214.54,8444.41,2233750.77,1.98889E+11
399001.SZ,深证成指,2013-11-29,8433.76,8630.38,8054.96,8542.61,2062385.32,1.83827E+11
399001.SZ,深证成指,2013-12-31,8461.49,8648.01,7887.37,8121.79,2106382.93,1.81298E+11
399001.SZ,深证成指,2014-01-30,8083.77,8124.56,7477.79,7572.63,2196999.7,1.75576E+11
399001.SZ,深证成指,2014-02-28,7515.09,7997.02,7174.33,7365.93,2580432.68,2.02159E+11
399001.SZ,深证成指,2014-03-31,7349.95,7410.66,6959.25,7189.58,2339586.55,2.02416E+11
399001.SZ,深证成指,2014-04-30,7184.07,7618.57,7177.85,7312.86,1791835.42,1.61122E+11
399001.SZ,深证成指,2014-05-30,7289.24,7432.35,7075.32,7364.83,1536448.15,1.35956E+11
399001.SZ,深证成指,2014-06-30,7365.61,7433.54,7134.54,7343.28,1896127.62,1.63131E+11
399001.SZ,深证成指,2014-07-31,7340.59,7957.46,7146.45,7956.91,2915691.64,2.67316E+11
399001.SZ,深证成指,2014-08-29,7919.78,8074.42,7735.68,7841.7,3262086.62,2.93981E+11
399001.SZ,深证成指,2014-09-30,7852.91,8251.06,7852.87,8080.35,4046620.91,3.47336E+11
399001.SZ,深证成指,2014-10-31,8134.37,8260.23,7803.46,8225.61,3356900.61,2.82318E+11
399001.SZ,深证成指,2014-11-28,8245.03,9010.17,8137.42,9002.23,3965248.53,3.25421E+11
399001.SZ,深证成指,2014-12-31,9029.64,11050.85,9027.3,11014.62,6557504.46,5.05578E+11
399001.SZ,深证成指,2015-01-30,11150.98,11749.14,10634.62,11150.69,4891300.19,3.41603E+11
399001.SZ,深证成指,2015-02-27,10952.14,11819.42,10715.43,11757.68,3429225.3,2.23739E+11
399001.SZ,深证成指,2015-03-31,11869.96,13538.29,11169.05,13160.66,9497534.46,5.7997E+11
399001.SZ,深证成指,2015-04-30,13187.42,15009.73,13142.4,14818.64,12603261.5,6.85189E+11
399001.SZ,深证成指,2015-05-29,14846.48,17153.8,14027.6,16100.45,14739464.96,6.99225E+11
399001.SZ,深证成指,2015-06-30,16247.39,18211.76,12723.16,14337.97,16544802.5,7.53751E+11
399001.SZ,深证成指,2015-07-31,14185.1,14696.98,10850.38,12374.25,12007687.18,7.12173E+11
399001.SZ,深证成指,2015-08-31,12178.57,13652.54,9713.99,10549.16,9714678.02,5.98995E+11
399001.SZ,深证成指,2015-09-30,10388.5,10702.18,9259.65,9988.25,5976262.94,4.45688E+11
399001.SZ,深证成指,2015-10-30,10332.24,11834.07,10265,11546.05,8621341.15,5.55939E+11
399001.SZ,深证成指,2015-11-30,11306.2,12970.47,11200.6,12037.86,13073947.71,7.29583E+11
399001.SZ,深证成指,2015-12-31,12022.84,13187.05,11830.99,12664.89,10996401.09,5.83459E+11
399001.SZ,深证成指,2016-01-29,12650.72,12659.41,8986.52,9418.2,6461954.19,4.23987E+11
399001.SZ,深证成指,2016-02-29,9389.62,10397.52,9000.89,9097.36,4718887.23,3.177E+11
399001.SZ,深证成指,2016-03-31,9116.56,10552.58,9011.51,10455.37,7990476.64,5.27846E+11
399001.SZ,深证成指,2016-04-29,10410.68,10810.41,9976.05,10141.54,7176922.53,4.33202E+11
399001.SZ,深证成指,2016-05-31,10144.15,10501.44,9544.12,10159.93,5868032.74,3.64838E+11
399001.SZ,深证成指,2016-06-30,10184.23,10527.69,9779.11,10489.99,7628157.57,4.55353E+11
399001.SZ,深证成指,2016-07-29,10506.22,10890.02,10262.3,10329.43,7939728.16,4.907E+11
399001.SZ,深证成指,2016-08-31,10289.89,10946.74,10086.64,10757.88,6678623.47,4.40236E+11
399001.SZ,深证成指,2016-09-30,10759.76,10903.64,10352.02,10567.58,5060173.71,3.36361E+11
399001.SZ,深证成指,2016-10-31,10612.21,10871.66,10584.7,10704.3,4610789.46,3.07954E+11
399001.SZ,深证成指,2016-11-30,10714.82,11124.81,10575.16,11012.19,7686877.57,4.94969E+11
399001.SZ,深证成指,2016-12-30,11037.12,11090.93,10062.37,10177.14,5325144.93,3.59437E+11
399001.SZ,深证成指,2017-01-26,10205.14,10396.9,9482.84,10052.05,3653119.73,2.58322E+11
399001.SZ,深证成指,2017-02-28,10061.29,10454.16,9984.64,10391.34,4254290.1,3.01938E+11
399001.SZ,深证成指,2017-03-31,10387.63,10666.12,10308.22,10428.72,6440719.92,3.99289E+11
399001.SZ,深证成指,2017-04-28,10496.78,10702.88,10015.89,10234.65,4940593.26,3.52817E+11
399001.SZ,深证成指,2017-05-31,10205.66,10244.35,9566.42,9864.85,4472371.18,3.21768E+11
399001.SZ,深证成指,2017-06-30,9833.83,10548.8,9637.54,10529.61,4783494.1,3.54889E+11
399001.SZ,深证成指,2017-07-31,10531.73,10574.21,9960.56,10505.04,5223632.74,4.08653E+11
399001.SZ,深证成指,2017-08-31,10496.71,10866.36,10281.63,10816.65,6197513.47,4.78149E+11
399001.SZ,深证成指,2017-09-29,10822.49,11199.19,10807.78,11087.19,6516667.07,4.5746E+11
399001.SZ,深证成指,2017-10-31,11248.35,11509.03,11140.34,11367.62,4507590.54,3.16533E+11
399001.SZ,深证成指,2017-11-30,11370.52,11714.98,10908.7,10944.1,6017434.5,4.09608E+11
399001.SZ,深证成指,2017-12-29,10941.87,11176.58,10716.29,11040.45,4321627.6,3.09685E+11
399001.SZ,深证成指,2018-01-31,11079.64,11633.46,11072.87,11159.68,5663653.57,4.16808E+11
399001.SZ,深证成指,2018-02-28,11145.41,11171.36,9868.83,10828.73,3152229.27,2.5351E+11
399001.SZ,深证成指,2018-03-30,10754.62,11335.3,10217.22,10868.66,5893918.05,4.39156E+11
399001.SZ,深证成指,2018-04-27,10887.47,10950.22,10228.09,10324.47,4830819.23,3.46226E+11
399001.SZ,深证成指,2018-05-31,10356.19,10789.76,10097.48,10295.73,5131950.66,3.77336E+11
399001.SZ,深证成指,2018-06-29,10247.16,10411.56,9065.2,9379.47,3840632.4,3.12823E+11
,,,,,,,,
数据来源：Wind,,,,,,,,
