number,code,name,c_name
288,600074,保千里,电子信息
289,600076,康欣新材,电子信息
290,600100,同方股份,电子信息
291,600105,永鼎股份,电子信息
292,600130,波导股份,电子信息
293,600198,大唐电信,电子信息
294,600271,航天信息,电子信息
295,600288,大恒科技,电子信息
296,600289,亿阳信通,电子信息
297,600330,天通股份,电子信息
298,600345,长江通信,电子信息
299,600406,国电南瑞,电子信息
300,600410,华胜天成,电子信息
301,600446,金证股份,电子信息
302,600455,博通股份,电子信息
303,600476,湘邮科技,电子信息
304,600485,信威集团,电子信息
305,600487,亨通光电,电子信息
306,600498,烽火通信,电子信息
307,600522,中天科技,电子信息
308,600536,中国软件,电子信息
309,600556,ST慧球,电子信息
310,600562,国睿科技,电子信息
311,600570,恒生电子,电子信息
312,600571,信雅达,电子信息
313,600588,用友网络,电子信息
314,600601,方正科技,电子信息
315,600608,*ST沪科,电子信息
316,600654,*ST中安,电子信息
317,600677,航天通信,电子信息
318,600680,*ST上普,电子信息
319,600718,东软集团,电子信息
320,600728,佳都科技,电子信息
321,600734,实达集团,电子信息
322,600756,浪潮软件,电子信息
323,600764,中电广通,电子信息
324,600775,南京熊猫,电子信息
325,600776,东方通信,电子信息
326,600797,浙大网新,电子信息
327,600804,鹏博士,电子信息
328,600845,宝信软件,电子信息
329,600850,华东电脑,电子信息
330,600990,四创电子,电子信息
331,601519,*ST智慧,电子信息
332,603000,人民网,电子信息
333,603019,中科曙光,电子信息
334,603025,大豪科技,电子信息
335,603636,南威软件,电子信息
336,21,深科技,电子信息
337,32,深桑达Ａ,电子信息
338,35,中国天楹,电子信息
339,63,中兴通讯,电子信息
340,66,中国长城,电子信息
341,70,特发信息,电子信息
342,503,海虹控股,电子信息
343,532,华金资本,电子信息
344,547,航天发展,电子信息
345,555,神州信息,电子信息
346,561,烽火电子,电子信息
347,586,汇源通信,电子信息
348,681,视觉中国,电子信息
349,711,京蓝科技,电子信息
350,748,长城信息,电子信息
351,787,*ST创智,电子信息
352,801,四川九洲,电子信息
353,805,*ST炎黄,电子信息
354,836,鑫茂科技,电子信息
355,851,高鸿股份,电子信息
356,892,欢瑞世纪,电子信息
357,938,紫光股份,电子信息
358,948,南天信息,电子信息
359,970,中科三环,电子信息
360,977,浪潮信息,电子信息
361,997,新 大 陆,电子信息
362,2017,东信和平,电子信息
363,2027,分众传媒,电子信息
364,2052,同洲电子,电子信息
365,2063,远光软件,电子信息
366,2065,东华软件,电子信息
367,2073,软控股份,电子信息
368,2089,新 海 宜,电子信息
369,2090,金智科技,电子信息
370,2093,国脉科技,电子信息
371,2095,生 意 宝,电子信息
372,2115,三维通信,电子信息
373,2148,北纬科技,电子信息
374,2151,北斗星通,电子信息
375,2152,广电运通,电子信息
376,2153,石基信息,电子信息
377,2161,远 望 谷,电子信息
378,2174,游族网络,电子信息
379,2177,御银股份,电子信息
380,2180,纳思达,电子信息
381,2184,海得控制,电子信息
382,2194,武汉凡谷,电子信息
383,2195,二三四五,电子信息
384,2230,科大讯飞,电子信息
385,2231,奥维通信,电子信息
386,2232,启明信息,电子信息